CODE,PRJ_LETTER_GRADE,SB_UID,SB_STATE,sbName,execount,observed,C34_1,C34_2,C34_3,C34_4,C34_5,C34_6,C34_7
2013.1.00489.S,B,uid://A001/X12a/X201,Ready,G17.64+0_a_06_TE,2,0.0,0,0,0,0,0,1,1
2013.1.00380.S,B,uid://A001/X146/X7f,Ready,SBS0335-_a_09_TE,3,0.0,0,0,1,1,0,0,0
2013.1.00376.S,B,uid://A001/X122/Xa3,FullyObserved,Saturn_a_03_TE,5,5.0,1,0,0,0,0,0,0
2013.1.00463.S,C,uid://A002/X996c88/X48,Ready,SpARCS-X_a_03_TE,1,0.0,0,0,0,0,1,1,0
2013.1.00463.S,C,uid://A002/X996c88/X4a,Ready,SpARCS-X_a_04_TE,1,0.0,0,0,0,1,1,1,0
2013.1.00463.S,C,uid://A002/X996c88/X49,Ready,SpARCS-X_a_06_TE,1,0.0,0,1,1,1,0,0,0
2013.1.00449.S,B,uid://A001/X121/X1db,FullyObserved,HELMS_34_a_03_TE,1,1.0,1,1,1,1,1,1,0
2013.1.00449.S,B,uid://A001/X121/X1dc,FullyObserved,HELMS_34_b_03_TE,1,1.0,1,1,1,1,1,1,0
2013.1.00449.S,B,uid://A001/X121/X1dd,FullyObserved,HELMS_34_c_03_TE,1,1.0,1,1,1,1,1,1,0
2013.1.00449.S,B,uid://A001/X121/X1de,FullyObserved,HELMS_34_d_03_TE,1,1.0,1,1,1,1,1,1,0
2013.1.00449.S,B,uid://A001/X121/X1df,FullyObserved,HELMS_34_e_03_TE,1,1.0,0,1,1,1,1,1,0
2013.1.00449.S,B,uid://A001/X121/X1e0,FullyObserved,XMM_30_a_03_TE,1,1.0,1,1,1,1,1,1,0
2013.1.00449.S,B,uid://A001/X121/X1e1,FullyObserved,XMM_30_b_03_TE,1,1.0,1,1,1,1,1,1,0
2013.1.00449.S,B,uid://A001/X121/X1e2,FullyObserved,XMM_30_c_03_TE,1,1.0,1,1,1,1,1,1,0
2013.1.00449.S,B,uid://A001/X121/X1e3,FullyObserved,XMM_30_d_03_TE,1,1.0,1,1,1,1,1,1,0
2013.1.00449.S,B,uid://A001/X121/X1e4,FullyObserved,XMM_30_e_03_TE,1,1.0,0,1,1,1,1,1,0
2013.1.00449.S,B,uid://A001/X121/X1e5,FullyObserved,SGP54092_a_03_TE,1,1.0,1,1,1,1,1,1,0
2013.1.00449.S,B,uid://A001/X121/X1e6,FullyObserved,SGP54092_b_03_TE,1,1.0,1,1,1,1,1,1,0
2013.1.00449.S,B,uid://A001/X121/X1e7,FullyObserved,SGP54092_c_03_TE,1,1.0,1,1,1,1,1,1,0
2013.1.00449.S,B,uid://A001/X121/X1e8,FullyObserved,SGP54092_d_03_TE,1,1.0,1,1,1,1,1,1,0
2013.1.00449.S,B,uid://A001/X121/X1e9,FullyObserved,SGP54092_e_03_TE,1,1.0,0,1,1,1,1,1,0
2013.1.00449.S,B,uid://A001/X121/X1ea,FullyObserved,SGP54107_a_03_TE,1,1.0,1,1,1,1,1,1,0
2013.1.00449.S,B,uid://A001/X121/X1eb,FullyObserved,SGP54107_b_03_TE,1,1.0,1,1,1,1,1,1,0
2013.1.00449.S,B,uid://A001/X121/X1ec,FullyObserved,SGP54107_c_03_TE,1,1.0,1,1,1,1,1,1,0
2013.1.00449.S,B,uid://A001/X121/X1ed,FullyObserved,SGP54107_d_03_TE,1,1.0,1,1,1,1,1,1,0
2013.1.00449.S,B,uid://A001/X121/X1ee,FullyObserved,SGP54107_e_03_TE,1,1.0,0,1,1,1,1,1,0
2013.1.00813.S,B,uid://A001/X121/X139,Ready,NGC_6240_a_09_TE,1,0.0,0,1,1,0,0,0,0
2013.1.00813.S,B,uid://A001/X121/X13a,Ready,Arp_220_a_08_TE,1,0.0,0,0,0,0,1,0,0
2013.1.00813.S,B,uid://A001/X121/X13b,Ready,Arp_220_a_08_TC,1,0.0,0,1,0,0,0,0,0
2013.1.00813.S,B,uid://A001/X121/X13c,Ready,NGC_6240_a_07_TE,1,0.0,0,0,0,0,1,1,0
2013.1.00813.S,B,uid://A001/X121/X13d,Ready,NGC_6240_a_07_TC,1,0.0,0,1,0,0,0,0,0
2013.1.00001.S,B,uid://A001/X13e/X1,Ready,ADFS_27_a_07_TE,1,0.0,0,0,0,0,0,0,1
2013.1.00001.S,B,uid://A001/X13e/X2,Ready,GAMA09-9_a_07_TE,1,0.0,0,0,0,0,0,0,1
2013.1.00001.S,B,uid://A001/X13e/X3,Ready,ELAISS1__a_07_TE,1,0.0,0,0,0,0,0,0,1
2013.1.00001.S,B,uid://A001/X13e/X4,Ready,HELMS_65_a_07_TE,1,0.0,0,0,0,0,0,0,1
2013.1.00001.S,B,uid://A001/X13e/X5,Ready,XMM_30_a_07_TE,1,0.0,0,0,0,0,0,0,1
2013.1.00001.S,B,uid://A001/X13e/X6,Ready,SGP-4663_a_07_TE,1,0.0,0,0,0,0,0,1,1
2013.1.00001.S,B,uid://A001/X13e/X7,Ready,SGP-5410_a_07_TE,1,0.0,0,0,0,0,0,1,1
